ID,Film Name,Date,Genres,Top Actors,Director,Writer,Creator (If writer isn't found)Book,Budget,Gross US,Gross World,Rating,Votes
tt13456318,Persuasion,,Drama | Romance,Dakota Johnson | Cosmo Jarvis | Richard E. Grant | Yolanda Kettle,Carrie Cracknell,Ron Bass,NotFound,[],NotFound,NotFound,NotFound," 5,8", 30904 votes
tt0060397,Fantastic Voyage,1966,Adventure | Family | Sci-Fi,Stephen Boyd | Raquel Welch | Edmond O'Brien | Donald Pleasence,Richard Fleischer,Harry Kleiner,NotFound,[],NotFound,NotFound,NotFound," 6,8", 19744 votes
tt0103639,Aladdin,1992,Animation | Adventure | Comedy,Scott Weinger | Robin Williams | Linda Larkin | Jonathan Freeman,Ron Clements,Ron Clements,NotFound,[],"$28 000 000
","$217 350 219
","$504 050 219
", 8, 428573 votes
tt12324366,Percy Jackson and the Olympians,2024,Action | Adventure | Family,Walker Scobell | Threnody Tsai | Jason Gray-Stanford | Leah Jeffries,NotFound,NotFound,Rick Riordan,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
tt1638002,"Love, Rosie",2014,Comedy | Romance,Lily Collins | Sam Claflin | Christian Cooke | Jaime Winstone,Christian Ditter,Juliette Towhidi,NotFound,[],NotFound,NotFound,NotFound," 7,1", 144878 votes
tt0119345,I Know What You Did Last Summer,1997,Horror | Mystery,Jennifer Love Hewitt | Sarah Michelle Gellar | Ryan Phillippe | Freddie Prinze Jr.,Jim Gillespie,Kevin Williamson,NotFound,[],"$17 000 000
","$72 586 134
","$125 586 134
"," 5,8", 150071 votes
tt1139328,The Ghost Writer,2010,Crime | Drama | Mystery,Ewan McGregor | Jon Bernthal | Tim Preece | Jim Belushi,Roman Polanski,Robert Harris,NotFound,[],"$45 000 000
","$15 541 549
","$60 331 447
"," 7,2", 166296 votes
tt0988045,Sherlock Holmes,2009,Action | Adventure | Mystery,Robert Downey Jr. | Jude Law | Rachel McAdams | Mark Strong,Guy Ritchie,Michael Robert Johnson,NotFound,[],"$90 000 000
","$209 028 679
","$524 028 679
"," 7,6", 642109 votes
tt0898367,The Road,,Drama | Fantasy,Viggo Mortensen | Kodi Smit-McPhee | Robert Duvall | Guy Pearce,John Hillcoat,Joe Penhall,NotFound,[],"$25 000 000
","$8 117 000
","$27 639 579
"," 7,2", 243236 votes
tt0092379,Inspector Morse,19872000,Crime | Drama | Mystery,John Thaw | Kevin Whately | James Grout | Peter Woodthorpe,John Madden,Daniel Boyle,NotFound,[],NotFound,NotFound,NotFound," 8,2", 12766 votes
tt4604612,The Alienist,20182020,Crime | Drama | Mystery,Daniel Brühl | Luke Evans | Robert Wisdom | Douglas Smith,David Caffrey,Hossein Amini,NotFound,[],NotFound,NotFound,NotFound," 7,7", 55803 votes
tt0245844,The Count of Monte Cristo,2002,Action | Adventure | Drama,Christopher Adamson | JB Blanc | Guy Carleton | Barry Cassin,Kevin Reynolds,Alexandre Dumas,NotFound,['Le Comte de Monte Cristo'],"$35 000 000
","$54 234 062
","$75 395 048
"," 7,7", 140636 votes
tt1777606,Rosaline,2022,Comedy | Romance,Kaitlyn Dever | Isabela Merced | Sean Teale | Kyle Allen,Karen Maine,Scott Neustadter,NotFound,[],NotFound,NotFound,NotFound," 6,4", 7849 votes
tt0052724,Day of the Outlaw,1959,Western,Robert Ryan | Burl Ives | Tina Louise | Alan Marshal,André De Toth,Lee E. Wells,NotFound,[],NotFound,NotFound,NotFound," 7,3", 4080 votes
tt0311113,Master and Commander: The Far Side of the World,2003,Action | Adventure | Drama,Russell Crowe | Paul Bettany | James D'Arcy | Edward Woodall,Peter Weir,Patrick O'Brian,NotFound,[],"$150 000 000
","$93 927 920
","$211 622 535
"," 7,4", 225654 votes
tt1381404,The Company You Keep,2012,Drama | Thriller,Robert Redford | Shia LaBeouf | Julie Christie | Susan Sarandon,Robert Redford,Lem Dobbs,NotFound,[],"$2 000 000
","$5 133 027
","$20 014 680
"," 6,4", 34033 votes
tt4779682,The Meg,2018,Action | Horror | Sci-Fi,Jason Statham | Bingbing Li | Rainn Wilson | Cliff Curtis,Jon Turteltaub,Dean Georgaris,NotFound,[],"$130 000 000
","$145 522 784
","$530 517 320
"," 5,6", 175137 votes
tt12965390,Perfect Addiction,2023,Action | Romance,Manu Bennett | Ross Butler | Poppy Gilbert | Kiana Madeira,Castille Landon,Stephanie Sanditz,NotFound,[],NotFound,NotFound,NotFound," 6,7", 40 votes
tt0452623,Gone Baby Gone,2007,Crime | Drama | Mystery,Casey Affleck | Michelle Monaghan | Morgan Freeman | Ed Harris,Ben Affleck,Ben Affleck,NotFound,[],"$19 000 000
","$20 292 962
","$34 612 443
"," 7,6", 277234 votes
tt0052618,Ben-Hur,1959,Adventure | Drama,Charlton Heston | Jack Hawkins | Haya Harareet | Stephen Boyd,William Wyler,Lew Wallace,NotFound,[],"$15 000 000
","$74 432 704
","$74 437 720
"," 8,1", 242227 votes
tt0095327,Grave of the Fireflies,1988,Animation | Drama | War,Tsutomu Tatsumi | Ayano Shiraishi | Yoshiko Shinohara | Akemi Yamaguchi,Isao Takahata,Akiyuki Nosaka,NotFound,[],"$3 700 000
","$516 962
","$516 962
"," 8,5", 282032 votes
tt1492179,Strike Back,20102020,Action | Drama | Thriller,Philip Winchester | Sullivan Stapleton | Michelle Lukes | Daniel MacPherson,Bill Eagles,Simon Allen,NotFound,[],NotFound,NotFound,NotFound," 8,1", 32240 votes
tt1553656,Under the Dome,20132015,Drama | Mystery | Sci-Fi,Mike Vogel | Rachelle Lefevre | Alexander Koch | Colin Ford,NotFound,NotFound,Brian K. Vaughan,NotFound,NotFound,NotFound,NotFound," 6,5", 107916 votes
tt1403865,True Grit,2010,Drama | Western,Jeff Bridges | Hailee Steinfeld | Matt Damon | Josh Brolin,Ethan Coen,Joel Coen,NotFound,[],"$38 000 000
","$171 243 005
","$252 276 927
"," 7,6", 343930 votes
tt0110322,Legends of the Fall,1994,Drama | Romance | War,Brad Pitt | Anthony Hopkins | Aidan Quinn | Julia Ormond,Edward Zwick,Susan Shilliday,NotFound,[],"$30 000 000
","$66 638 883
","$160 638 883
"," 7,5", 170905 votes
tt10539608,The Midnight Sky,2020,Adventure | Drama | Sci-Fi,George Clooney | Felicity Jones | David Oyelowo | Caoilinn Springall,George Clooney,Lily Brooks-Dalton,NotFound,[],NotFound,NotFound,NotFound," 5,6", 85155 votes
tt1262426,Wicked,2024,Comedy | Drama | Family,Michelle Yeoh | Jeff Goldblum | Jonathan Bailey | Cynthia Erivo,Jon M. Chu,Winnie Holzman,NotFound,[],NotFound,NotFound,NotFound,NotFound,NotFound
tt12718300,"Confess, Fletch",2022,Comedy | Crime,Jon Hamm | Caitlin Zerra Rose | Roy Wood Jr. | Ayden Mayeri,Greg Mottola,Greg Mottola,NotFound,[],"$20 000 000
","$538 842
","$656 613
"," 6,5", 11380 votes
tt0093894,The Running Man,1987,Action | Sci-Fi | Thriller,Arnold Schwarzenegger | Maria Conchita Alonso | Yaphet Kotto | Jim Brown,Paul Michael Glaser,Stephen King,NotFound,[],"$27 000 000
","$38 122 105
","$38 122 105
"," 6,6", 157154 votes
tt0107798,The Pelican Brief,1993,Crime | Drama | Mystery,Julia Roberts | Denzel Washington | Sam Shepard | John Heard,Alan J. Pakula,John Grisham,NotFound,[],"$45 000 000
","$100 768 056
","$195 268 056
"," 6,6", 90157 votes
tt1440728,The American,2010,Action | Crime | Drama,George Clooney | Irina Björklund | Lars Hjelm | Björn Granath,Anton Corbijn,Rowan Joffe,NotFound,[],"$20 000 000
","$35 606 376
","$67 876 281
"," 6,3", 99132 votes
tt6048922,Greyhound,2020,Action | Drama | History,Tom Hanks | Elisabeth Shue | Stephen Graham | Matt Helm,Aaron Schneider,Tom Hanks,NotFound,[],NotFound,NotFound,NotFound, 7, 100701 votes
tt1809398,Unbroken,,Action | Biography | Drama,Jack O'Connell | Domhnall Gleeson | Garrett Hedlund | Miyavi,Angelina Jolie,Joel Coen,NotFound,[],"$65 000 000
","$115 637 895
","$161 459 297
"," 7,2", 171735 votes
tt0083944,First Blood,1982,Action | Adventure | Thriller,Sylvester Stallone | Richard Crenna | Brian Dennehy | Bill McKinney,Ted Kotcheff,David Morrell,NotFound,[],"$15 000 000
","$47 212 904
","$125 212 904
"," 7,7", 258473 votes
tt0107943,The Remains of the Day,1993,Drama | Romance,John Haycraft | Christopher Reeve | Anthony Hopkins | Emma Thompson,James Ivory,Kazuo Ishiguro,NotFound,[],"$15 000 000
","$23 237 911
","$23 237 911
"," 7,8", 76729 votes
tt0112130,Pride and Prejudice,19951995,Drama | Romance,Jennifer Ehle | Colin Firth | Susannah Harker | Julia Sawalha,Simon Langton,Jane Austen,NotFound,[],NotFound,NotFound,NotFound," 8,8", 86682 votes
tt0078753,All Quiet on the Western Front,1979,Drama | War,Richard Thomas | Ernest Borgnine | Donald Pleasence | Ian Holm,Delbert Mann,Paul Monash,NotFound,[],NotFound,NotFound,NotFound," 7,1", 9749 votes
tt0116209,The English Patient,1996,Drama | Romance | War,Ralph Fiennes | Juliette Binoche | Willem Dafoe | Kristin Scott Thomas,Anthony Minghella,Michael Ondaatje,NotFound,[],"$27 000 000
","$78 676 425
","$231 976 425
"," 7,4", 193110 votes
tt0159097,The Virgin Suicides,1999,Drama | Romance,James Woods | Kathleen Turner | Kirsten Dunst | Josh Hartnett,Sofia Coppola,Jeffrey Eugenides,NotFound,[],"$9 000 000
","$4 906 229
","$10 410 044
"," 7,2", 158356 votes
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy | War,Peter Sellers | George C. Scott | Sterling Hayden | Keenan Wynn,Stanley Kubrick,Stanley Kubrick,NotFound,[],"$1 800 000
","$9 440 272
","$9 523 464
"," 8,4", 495535 votes
tt1371111,Cloud Atlas,2012,Drama | Mystery | Sci-Fi,Tom Hanks | Halle Berry | Jim Broadbent | Hugo Weaving,Tom Tykwer,David Mitchell,NotFound,['Cloud Atlas'],"$102 000 000
","$27 108 272
","$130 516 424
"," 7,4", 365507 votes
tt3215824,Those Who Wish Me Dead,2021,Action | Drama | Thriller,Angelina Jolie | Finn Little | Jon Bernthal | Aidan Gillen,Taylor Sheridan,Michael Koryta,NotFound,[],NotFound,NotFound,NotFound, 6, 63703 votes
tt0094226,The Untouchables,1987,Crime | Drama | Thriller,Kevin Costner | Sean Connery | Charles Martin Smith | Andy Garcia,Brian De Palma,David Mamet,NotFound,[],"$25 000 000
","$76 270 454
","$76 270 454
"," 7,8", 315171 votes
tt6108178,Disobedience,2017,Drama,Anton Lesser | Alessandro Nivola | Allan Corduner | Nicholas Woodeson,Sebastián Lelio,Sebastián Lelio,NotFound,[],"$6 000 000
","$3 498 782
","$8 003 180
"," 6,6", 32641 votes
tt13249596,Father of the Bride,2022,Comedy | Drama | Romance,Andy Garcia | Gloria Estefan | Adria Arjona | Isabela Merced,Gary Alazraki,Matt Lopez,NotFound,[],NotFound,NotFound,NotFound," 5,9", 11034 votes
tt14376190,Kindred,20222022,Drama | Fantasy | Mystery,Mallori Johnson | Micah Stock | Ryan Kwanten | Gayle Rankin,NotFound,NotFound,Branden Jacobs-Jenkins,NotFound,NotFound,NotFound,NotFound," 7,4", 2968 votes
tt0338526,Van Helsing,2004,Action | Adventure | Fantasy,Hugh Jackman | Kate Beckinsale | Richard Roxburgh | David Wenham,Stephen Sommers,Stephen Sommers,NotFound,[],"$160 000 000
","$120 177 084
","$300 157 638
", 6, 271467 votes
tt1189340,The Lincoln Lawyer,2011,Crime | Drama | Mystery,Matthew McConaughey | Marisa Tomei | Ryan Phillippe | William H. Macy,Brad Furman,John Romano,NotFound,[],"$40 000 000
","$58 009 200
","$86 752 352
"," 7,3", 242332 votes
tt0055710,The Virginian,19621971,Drama | Western,Doug McClure | James Drury | Lee J. Cobb | Sara Lane,NotFound,NotFound,Charles Marquis Warren,NotFound,NotFound,NotFound,NotFound," 7,6", 2850 votes
tt0054698,Breakfast at Tiffany's,1961,Comedy | Drama | Romance,Audrey Hepburn | George Peppard | Patricia Neal | Buddy Ebsen,Blake Edwards,Truman Capote,NotFound,[],NotFound,NotFound,NotFound," 7,6", 183650 votes
tt0094332,The Witches of Eastwick,1987,Comedy | Fantasy | Horror,Jack Nicholson | Cher | Susan Sarandon | Michelle Pfeiffer,George Miller,John Updike,NotFound,[],"$22 000 000
","$63 766 510
","$63 766 510
"," 6,5", 72239 votes
tt8089592,Little Fires Everywhere,20202020,Drama,Kerry Washington | Lexi Underwood | Reese Witherspoon | Joshua Jackson,NotFound,NotFound,Liz Tigelaar,NotFound,NotFound,NotFound,NotFound," 7,7", 48254 votes
tt1305806,The Secret in Their Eyes,2009,Drama | Mystery | Romance,Soledad Villamil | Ricardo Darín | Carla Quevedo | Pablo Rago,Juan José Campanella,Eduardo Sacheri,NotFound,[],"$2 000 000
","$6 391 436
","$35 079 650
"," 8,2", 212104 votes
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,2012,Adventure | Drama | Fantasy,Kristen Stewart | Robert Pattinson | Taylor Lautner | Peter Facinelli,Bill Condon,Melissa Rosenberg,NotFound,[],"$120 000 000
","$292 324 737
","$848 853 382
"," 5,5", 252573 votes
tt0055928,Dr. No,1962,Action | Adventure | Thriller,Sean Connery | Ursula Andress | Joseph Wiseman | Jack Lord,Terence Young,Richard Maibaum,NotFound,[],NotFound,NotFound,NotFound," 7,2", 170703 votes
tt0382625,The Da Vinci Code,2006,Mystery | Thriller,Tom Hanks | Audrey Tautou | Ian McKellen | Jean Reno,Ron Howard,Akiva Goldsman,NotFound,[],"$125 000 000
","$217 536 138
","$760 006 945
"," 6,6", 439434 votes
tt8354062,One Of Us Is Lying,20212022,Crime | Drama | Mystery,Annalisa Cochrane | Chibuikem Uche | Marianly Tejada | Cooper van Grootel,NotFound,NotFound,Erica Saleh,NotFound,NotFound,NotFound,NotFound," 6,8", 11932 votes
tt0879870,Eat Pray Love,2010,Biography | Drama | Romance,Julia Roberts | I. Gusti Ayu Puspawati | Hadi Subiyanto | Billy Crudup,Ryan Murphy,Ryan Murphy,NotFound,[],"$60 000 000
","$80 574 010
","$204 594 016
"," 5,8", 99896 votes
tt0118884,Contact,1997,Drama | Mystery | Sci-Fi,Jena Malone | David Morse | Jodie Foster | Geoffrey Blake,Robert Zemeckis,James V. Hart,NotFound,[],"$90 000 000
","$100 920 329
","$171 120 329
"," 7,5", 279222 votes
tt1935859,Miss Peregrine's Home for Peculiar Children,2016,Adventure | Drama | Family,Eva Green | Asa Butterfield | Samuel L. Jackson | Judi Dench,Tim Burton,Ransom Riggs,NotFound,[],"$110 000 000
","$87 242 834
","$296 482 446
"," 6,7", 177655 votes
tt0074812,Logan's Run,1976,Action | Adventure | Sci-Fi,Michael York | Richard Jordan | Jenny Agutter | Roscoe Lee Browne,Michael Anderson,David Zelag Goodman,NotFound,[],NotFound,NotFound,NotFound," 6,8", 58125 votes
tt0088939,The Color Purple,1985,Drama,Danny Glover | Whoopi Goldberg | Margaret Avery | Oprah Winfrey,Steven Spielberg,Menno Meyjes,NotFound,[],"$15 000 000
","$98 467 863
","$98 467 863
"," 7,7", 89018 votes
tt0454876,Life of Pi,2012,Adventure | Drama | Fantasy,Suraj Sharma | Irrfan Khan | Ayush Tandon | Gautam Belur,Ang Lee,Yann Martel,NotFound,[],"$120 000 000
","$124 987 023
","$609 016 565
"," 7,9", 638824 votes
tt2582846,The Fault in Our Stars,2014,Drama | Romance,Shailene Woodley | Ansel Elgort | Nat Wolff | Laura Dern,Josh Boone,Scott Neustadter,NotFound,[],"$12 000 000
","$124 872 350
","$307 166 834
"," 7,7", 382878 votes
tt14230458,Poor Thing,NotFound,Romance | Sci-Fi,Emma Stone | Margaret Qualley | Willem Dafoe | Mark Ruffalo,Yorgos Lanthimos,Alasdair Gray,NotFound,[],NotFound,NotFound,NotFound,NotFound,NotFound
tt0443680,The Assassination of Jesse James by the Coward Robert Ford,2007,Biography | Crime | Drama,Brad Pitt | Mary-Louise Parker | Brooklynn Proulx | Dustin Bollinger,Andrew Dominik,Andrew Dominik,NotFound,[],"$30 000 000
","$3 909 149
","$15 001 776
"," 7,5", 185213 votes
tt0298130,The Ring,2002,Horror | Mystery,Naomi Watts | Martin Henderson | David Dorfman | Brian Cox,Gore Verbinski,Ehren Kruger,NotFound,[],"$48 000 000
","$129 128 133
","$249 348 933
"," 7,1", 355900 votes
tt1051906,The Invisible Man,,Drama | Horror | Mystery,Elisabeth Moss | Oliver Jackson-Cohen | Harriet Dyer | Aldis Hodge,Leigh Whannell,Leigh Whannell,NotFound,[],"$7 000 000
","$70 410 000
","$144 492 724
"," 7,1", 233252 votes
tt0959337,Revolutionary Road,2008,Drama | Romance,Kate Winslet | Leonardo DiCaprio | Christopher Fitzgerald | Jonathan Roumie,Sam Mendes,Justin Haythe,NotFound,[],"$35 000 000
","$22 911 480
","$75 981 180
"," 7,3", 216728 votes
tt0105151,The Player,1992,Comedy | Crime | Drama,Tim Robbins | Greta Scacchi | Fred Ward | Whoopi Goldberg,Robert Altman,Michael Tolkin,NotFound,[],"$8 000 000
","$21 706 101
","$21 706 101
"," 7,5", 62193 votes
tt0289765,Red Dragon,2002,Crime | Drama | Thriller,Anthony Hopkins | Edward Norton | Ralph Fiennes | Harvey Keitel,Brett Ratner,Thomas Harris,NotFound,[],"$78 000 000
","$93 149 898
","$209 196 298
"," 7,2", 278166 votes
tt0327597,Coraline,2009,Animation | Drama | Family,Dakota Fanning | Teri Hatcher | Jennifer Saunders | Dawn French,Henry Selick,Henry Selick,NotFound,[],"$60 000 000
","$75 286 229
","$124 627 844
"," 7,7", 237380 votes
tt21106646,The Next 365 Days,2022,Drama | Romance,Anna-Maria Sieklucka | Michele Morrone | Simone Susinna | Magdalena Lamparska,Barbara Bialowas,Blanka Lipinska,NotFound,['Kolejne 365 dni'],NotFound,NotFound,NotFound," 2,7", 7334 votes
tt8629748,Spenser Confidential,2020,Action | Comedy | Crime,Mark Wahlberg | Winston Duke | Alan Arkin | Iliza Shlesinger,Peter Berg,Sean O'Keefe,NotFound,[],NotFound,NotFound,NotFound," 6,2", 91067 votes
tt0088323,The NeverEnding Story,1984,Adventure | Drama | Family,Barret Oliver | Gerald McRaney | Chris Eastman | Darryl Cooksey,Wolfgang Petersen,Wolfgang Petersen,NotFound,[],"$27 000 000
","$20 192 381
","$20 284 984
"," 7,3", 148040 votes
tt0107614,Mrs. Doubtfire,1993,Comedy | Drama,Robin Williams | Sally Field | Pierce Brosnan | Harvey Fierstein,Chris Columbus,Anne Fine,NotFound,['Alias Madame Doubtfire'],"$25 000 000
","$219 195 243
","$441 286 195
"," 7,1", 272730 votes
tt2304589,Defending Jacob,20202020,Crime | Drama | Mystery,Chris Evans | Michelle Dockery | Jaeden Martell | Cherry Jones,NotFound,NotFound,Mark Bomback,NotFound,NotFound,NotFound,NotFound," 7,8", 57672 votes
tt0061722,The Graduate,1967,Comedy | Drama | Romance,Anne Bancroft | Dustin Hoffman | Katharine Ross | William Daniels,Mike Nichols,Calder Willingham,NotFound,[],"$3 000 000
","$104 945 305
","$105 015 008
", 8, 277167 votes
tt2386490,How to Train Your Dragon: The Hidden World,2019,Animation | Action | Adventure,Jay Baruchel | America Ferrera | F. Murray Abraham | Cate Blanchett,Dean DeBlois,Dean DeBlois,NotFound,[],"$129 000 000
","$160 945 505
","$524 580 592
"," 7,4", 133903 votes
tt0100157,Misery,1990,Drama | Thriller,James Caan | Kathy Bates | Richard Farnsworth | Frances Sternhagen,Rob Reiner,Stephen King,NotFound,['Misery'],"$20 000 000
","$61 276 872
","$61 277 271
"," 7,8", 217298 votes
tt0373469,Kiss Kiss Bang Bang,2005,Comedy | Crime | Mystery,Robert Downey Jr. | Val Kilmer | Michelle Monaghan | Corbin Bernsen,Shane Black,Brett Halliday,NotFound,['Bodies Are Where You Find Them'],"$15 000 000
","$4 243 756
","$15 785 148
"," 7,5", 229967 votes
tt3631112,The Girl on the Train,2016,Crime | Drama | Mystery,Emily Blunt | Haley Bennett | Rebecca Ferguson | Justin Theroux,Tate Taylor,Erin Cressida Wilson,NotFound,[],"$45 000 000
","$75 395 035
","$173 185 859
"," 6,5", 190624 votes
tt8888462,Pachinko,2022,Drama,Lee Min-Ho | Soji Arai | Jin Ha | Minha Kim,Justin Chon,Soo Hugh,NotFound,[],NotFound,NotFound,NotFound," 8,4", 9439 votes
tt2201227,Stay Close,20212021,Crime | Drama | Mystery,Cush Jumbo | Richard Armitage | Daniel Francis | Jo Joyner,Daniel O'Hara,Harlan Coben,NotFound,[],NotFound,NotFound,NotFound," 6,9", 32804 votes
tt0401729,John Carter,2012,Action | Adventure | Sci-Fi,Taylor Kitsch | Lynn Collins | Samantha Morton | Willem Dafoe,Andrew Stanton,Andrew Stanton,NotFound,[],"$250 000 000
","$73 078 100
","$284 139 100
"," 6,6", 276601 votes
tt0063522,Rosemary's Baby,1968,Drama | Horror,Mia Farrow | John Cassavetes | Ruth Gordon | Sidney Blackmer,Roman Polanski,Ira Levin,NotFound,[],NotFound,NotFound,NotFound, 8, 221011 votes
tt0091635,9½ Weeks,1986,Drama | Romance,Mickey Rourke | Kim Basinger | Margaret Whitton | David Margulies,Adrian Lyne,Elizabeth McNeill,NotFound,[],"$17 000 000
","$6 735 922
","$6 735 922
"," 5,9", 42028 votes
tt0082329,Endless Love,1981,Drama | Romance,Brooke Shields | Martin Hewitt | Shirley Knight | Don Murray,Franco Zeffirelli,Scott Spencer,NotFound,[],"$9 700 000
","$31 184 024
","$32 492 674
"," 4,9", 8917 votes
tt0120855,Tarzan,1999,Animation | Adventure | Comedy,Brian Blessed | Glenn Close | Minnie Driver | Tony Goldwyn,Chris Buck,Tab Murphy,NotFound,[],"$130 000 000
","$171 091 819
","$448 191 819
"," 7,3", 231491 votes
tt0096438,Who Framed Roger Rabbit,1988,Animation | Adventure | Comedy,Bob Hoskins | Christopher Lloyd | Joanna Cassidy | Charles Fleischer,Robert Zemeckis,Jeffrey Price,NotFound,[],"$70 000 000
","$156 452 370
","$329 803 958
"," 7,7", 205331 votes
tt0056193,Lolita,1962,Crime | Drama | Romance,James Mason | Shelley Winters | Sue Lyon | Gary Cockrell,Stanley Kubrick,Vladimir Nabokov,NotFound,[],NotFound,NotFound,NotFound," 7,5", 103706 votes
tt0259153,Rose Red,20022002,Horror | Mystery | Thriller,Nancy Travis | Matt Keeslar | Kimberly J. Brown | David Dukes,Craig R. Baxley,Stephen King,NotFound,[],NotFound,NotFound,NotFound," 6,6", 24788 votes
tt0808151,Angels & Demons,2009,Action | Mystery | Thriller,Tom Hanks | Ewan McGregor | Ayelet Zurer | Stellan Skarsgård,Ron Howard,David Koepp,NotFound,[],"$150 000 000
","$133 375 846
","$485 930 816
"," 6,7", 297884 votes
tt0133152,Planet of the Apes,2001,Action | Adventure | Sci-Fi,Mark Wahlberg | Tim Roth | Helena Bonham Carter | Michael Clarke Duncan,Tim Burton,Pierre Boulle,NotFound,['La Planète des Singes'],"$100 000 000
","$180 011 740
","$362 211 740
"," 5,7", 222265 votes
tt13068346,Great Expectations,,Drama | History,Bronte Carmichael | Gianni Calchetti | Tom Sweet | Olivia Colman,Brady Hood,Steven Knight,NotFound,[],NotFound,NotFound,NotFound,NotFound,NotFound
tt0074285,Carrie,1976,Horror | Mystery,Sissy Spacek | Piper Laurie | Amy Irving | William Katt,Brian De Palma,Stephen King,NotFound,[],NotFound,NotFound,NotFound," 7,4", 192222 votes
tt2402927,Carol,2015,Drama | Romance,Cate Blanchett | Rooney Mara | Kyle Chandler | Sarah Paulson,Todd Haynes,Phyllis Nagy,NotFound,[],"$11 800 000
","$12 711 491
","$40 272 135
"," 7,2", 133099 votes
tt0052357,Vertigo,1958,Mystery | Romance | Thriller,James Stewart | Kim Novak | Barbara Bel Geddes | Tom Helmore,Alfred Hitchcock,Alec Coppel,NotFound,[],"$2 479 000
","$7 705 225
","$7 798 146
"," 8,3", 406634 votes
tt2231253,Wild Card,2015,Action | Crime | Drama,Jason Statham | Michael Angarano | Dominik Garcia | Hope Davis,Simon West,William Goldman,NotFound,['Heat'],NotFound,NotFound,NotFound," 5,6", 57093 votes
tt0372183,The Bourne Supremacy,2004,Action | Mystery | Thriller,Matt Damon | Franka Potente | Brian Cox | Julia Stiles,Paul Greengrass,Robert Ludlum,NotFound,[],"$75 000 000
","$176 241 941
","$290 835 269
"," 7,7", 469141 votes
tt0072684,Barry Lyndon,1975,Adventure | Drama | War,Ryan O'Neal | Marisa Berenson | Patrick Magee | Hardy Krüger,Stanley Kubrick,Stanley Kubrick,NotFound,[],NotFound,NotFound,NotFound," 8,1", 171368 votes
tt0499448,The Chronicles of Narnia: Prince Caspian,2008,Action | Adventure | Family,Ben Barnes | Georgie Henley | Skandar Keynes | William Moseley,Andrew Adamson,Andrew Adamson,NotFound,[],"$225 000 000
","$141 621 490
","$419 665 568
"," 6,5", 214829 votes
tt1781769,Anna Karenina,,Drama | Romance,Matthew Macfadyen | Eric MacLennan | Kelly Macdonald | Theo Morrissey,Joe Wright,Tom Stoppard,NotFound,[],"$40 600 000
","$12 816 367
","$68 929 150
"," 6,6", 102237 votes
tt4046784,Maze Runner: The Scorch Trials,2015,Action | Adventure | Sci-Fi,Dylan O'Brien | Ki Hong Lee | Kaya Scodelario | Thomas Brodie-Sangster,Wes Ball,T.S. Nowlin,NotFound,[],"$61 000 000
","$81 697 192
","$312 296 056
"," 6,3", 256727 votes
tt0119396,Jackie Brown,1997,Crime | Drama | Thriller,Pam Grier | Samuel L. Jackson | Robert Forster | Bridget Fonda,Quentin Tarantino,Quentin Tarantino,NotFound,[],"$12 000 000
","$39 673 162
","$39 675 292
"," 7,5", 355123 votes
tt0072281,The Three Musketeers,1973,Action | Adventure,Oliver Reed | Raquel Welch | Richard Chamberlain | Michael York,Richard Lester,George MacDonald Fraser,NotFound,[],NotFound,NotFound,NotFound," 7,1", 18871 votes
tt0059800,Thunderball,1965,Action | Adventure | Thriller,Sean Connery | Claudine Auger | Adolfo Celi | Luciana Paluzzi,Terence Young,Richard Maibaum,NotFound,[],NotFound,NotFound,NotFound," 6,9", 121078 votes
tt7504726,The Call of the Wild,2020,Adventure | Drama | Family,Harrison Ford | Omar Sy | Cara Gee | Dan Stevens,Chris Sanders,Michael Green,NotFound,[],"$135 000 000
","$62 342 368
","$111 257 878
"," 6,7", 51374 votes
tt12672536,The Three Musketeers: D'Artagnan,2023,Action | Adventure | History,François Civil | Vincent Cassel | Romain Duris | Pio Marmaï,Martin Bourboulon,Matthieu Delaporte,NotFound,[],NotFound,NotFound,NotFound,NotFound,NotFound
tt0458481,Sin City: A Dame to Kill For,2014,Action | Crime | Thriller,Mickey Rourke | Jessica Alba | Josh Brolin | Joseph Gordon-Levitt,Frank Miller,Frank Miller,NotFound,[],"$65 000 000
","$13 757 804
","$39 407 616
"," 6,5", 164554 votes
tt0431308,P.S. I Love You,2007,Comedy | Drama | Romance,Hilary Swank | Gerard Butler | Lisa Kudrow | Gina Gershon,Richard LaGravenese,Richard LaGravenese,NotFound,[],"$30 000 000
","$53 706 790
","$156 846 321
", 7, 212883 votes
tt0112461,The Basketball Diaries,1995,Biography | Crime | Drama,Leonardo DiCaprio | Lorraine Bracco | Marilyn Sokol | James Madio,Scott Kalvert,Jim Carroll,NotFound,[],"$2 000 000
","$2 381 087
","$2 402 438
"," 7,3", 114212 votes
tt0072431,Young Frankenstein,1974,Comedy,Gene Wilder | Peter Boyle | Marty Feldman | Madeline Kahn,Mel Brooks,Gene Wilder,NotFound,[],NotFound,NotFound,NotFound, 8, 161191 votes
