ID,Film Name,Date,Genres,Top Actors,Director,Writer,Creator (If writer isn't found)Book,Budget,Gross US,Gross World,Rating,Votes
tt9411972,Where the Crawdads Sing,2022,Drama | Mystery | Romance,Daisy Edgar-Jones | Taylor John Smith | Harris Dickinson | David Strathairn,Olivia Newman,Delia Owens,Lauren Schmidt,[],"$24 000 000
","$90 230 760
","$140 230 760
"," 7,2", 84016 votes
tt1399664,The Night Manager,20162016,Crime | Drama | Mystery,Tom Hiddleston | Hugh Laurie | Elizabeth Debicki | Olivia Colman,NotFound,NotFound,David Farr,NotFound,NotFound,NotFound,NotFound, 8, 93127 votes
tt5607976,His Dark Materials,20192022,Adventure | Drama | Family,Dafne Keen | Kit Connor | Ruth Wilson | Amir Wilson,NotFound,NotFound,Jack Thorne,NotFound,NotFound,NotFound,NotFound," 7,8", 77400 votes
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,Action | Adventure | Drama,Alan Howard | Noel Appleby | Sean Astin | Sala Baker,Peter Jackson,J.R.R. Tolkien,Jack Thorne,['The Fellowship of the Ring'],"$93 000 000
","$316 115 420
","$898 204 420
"," 8,8", 1893220 votes
tt9288030,Reacher,2022,Action | Crime | Drama,Alan Ritchson | Malcolm Goodwin | Willa Fitzgerald | Hugh Thompson,NotFound,NotFound,Nick Santora,NotFound,NotFound,NotFound,NotFound," 8,1", 131847 votes
tt10839422,Sex/Life,2021,Comedy | Drama | Romance,Sarah Shahi | Mike Vogel | Adam Demos | Margaret Odette,NotFound,NotFound,Stacy Rukeyser,NotFound,NotFound,NotFound,NotFound," 5,5", 22426 votes
tt1160419,Dune,2021,Action | Adventure | Drama,Timothée Chalamet | Rebecca Ferguson | Oscar Isaac | Jason Momoa,Denis Villeneuve,Jon Spaihts,Stacy Rukeyser,[],"$165 000 000
","$108 327 830
","$402 027 830
", 8, 652567 votes
tt1488589,Guillermo del Toro's Pinocchio,2022,Animation | Drama | Family,Ewan McGregor | David Bradley | Gregory Mann | Burn Gorman,Guillermo del Toro,Guillermo del Toro,Stacy Rukeyser,[],NotFound,NotFound,NotFound," 7,6", 84338 votes
tt8291284,The Peripheral,2022,Drama | Mystery | Sci-Fi,Chloë Grace Moretz | Gary Carr | Jack Reynor | JJ Feild,Vincenzo Natali,William Gibson,Stacy Rukeyser,[],NotFound,NotFound,NotFound," 7,6", 64529 votes
tt8740790,Bridgerton,2020,Drama | History | Romance,Luke Thompson | Jonathan Bailey | Bessie Carter | Nicola Coughlan,NotFound,NotFound,Chris Van Dusen,NotFound,NotFound,NotFound,NotFound," 7,4", 142029 votes
tt1983079,Call the Midwife,2012,Drama | History,Vanessa Redgrave | Laura Main | Jenny Agutter | Stephen McGann,NotFound,NotFound,Heidi Thomas,NotFound,NotFound,NotFound,NotFound," 8,6", 28031 votes
tt13107970,Hogwarts Legacy,2023,Action | Adventure | Fantasy,Alastair Duncan | Amy Louise Pemberton | Asif Ali | Carla Tassara,Natalie Gray,Natalie Gray,Heidi Thomas,[],NotFound,NotFound,NotFound," 9,3", 2280 votes
tt1392170,The Hunger Games,2012,Action | Adventure | Sci-Fi,Stanley Tucci | Wes Bentley | Jennifer Lawrence | Willow Shields,Gary Ross,Gary Ross,Heidi Thomas,[],"$78 000 000
","$408 010 692
","$694 394 724
"," 7,2", 929434 votes
tt1475582,Sherlock,20102017,Crime | Drama | Mystery,Benedict Cumberbatch | Martin Freeman | Una Stubbs | Rupert Graves,NotFound,NotFound,Mark Gatiss,NotFound,NotFound,NotFound,NotFound," 9,1", 938854 votes
tt0330373,Harry Potter and the Goblet of Fire,2005,Adventure | Family | Fantasy,Eric Sykes | Timothy Spall | David Tennant | Daniel Radcliffe,Mike Newell,Steve Kloves,Mark Gatiss,[],"$150 000 000
","$290 469 928
","$896 815 106
"," 7,7", 637912 votes
tt3230854,The Expanse,20152022,Drama | Mystery | Sci-Fi,Steven Strait | Dominique Tipper | Wes Chatham | Shohreh Aghdashloo,NotFound,NotFound,Daniel Abraham,NotFound,NotFound,NotFound,NotFound," 8,5", 157670 votes
tt0102926,The Silence of the Lambs,1991,Crime | Drama | Thriller,Jodie Foster | Lawrence A. Bonney | Kasi Lemmons | Lawrence T. Wrentz,Jonathan Demme,Thomas Harris,Daniel Abraham,[],"$19 000 000
","$130 742 922
","$272 742 922
"," 8,6", 1447581 votes
